,Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
3493,Ireland,Viet Nam,2000,6,,"(-8.24389, 53.41291)"
3494,Japan,Viet Nam,2000,135,,"(138.252924, 36.204824)"
3499,Netherlands,Central African Rep.,2000,1,,"(5.291266, 52.132633)"
3502,Netherlands,Dem. Rep. of the Congo,2000,19,,"(5.291266, 52.132633)"
3504,Netherlands,Iran (Islamic Rep. of),2000,5,,"(5.291266, 52.132633)"
3506,Netherlands,Myanmar,2000,68,,"(5.291266, 52.132633)"
3512,New Zealand,Dem. Rep. of the Congo,2000,22,,"(174.885971, -40.900557)"
3515,New Zealand,Iran (Islamic Rep. of),2000,31,,"(174.885971, -40.900557)"
3517,New Zealand,Myanmar,2000,207,,"(174.885971, -40.900557)"
3521,New Zealand,Syrian Arab Rep.,2000,24,,"(174.885971, -40.900557)"
3522,New Zealand,Various/unknown,2000,35,,"(174.885971, -40.900557)"
3530,Norway,Dem. Rep. of the Congo,2000,12,,"(8.468946, 60.472024)"
3533,Norway,Iran (Islamic Rep. of),2000,416,,"(8.468946, 60.472024)"
3536,Norway,Myanmar,2000,12,,"(8.468946, 60.472024)"
3538,Norway,Serbia and Kosovo: S/RES/1244 (1999),2000,73,,"(8.468946, 60.472024)"
3539,Norway,Stateless,2000,6,,"(8.468946, 60.472024)"
3549,Sweden,Iran (Islamic Rep. of),2000,345,,"(18.643501, 60.128161)"
3551,Sweden,Russian Federation,2000,6,,"(18.643501, 60.128161)"
3552,Sweden,Serbia and Kosovo: S/RES/1244 (1999),2000,48,,"(18.643501, 60.128161)"
3554,Sweden,Syrian Arab Rep.,2000,1,,"(18.643501, 60.128161)"
3556,Sweden,Various/unknown,2000,384,,"(18.643501, 60.128161)"
3557,United States of America,Afghanistan,2000,1710,"(67.709953, 33.93911)",
3558,United States of America,Albania,2000,1,"(20.168331, 41.153332)",
3559,United States of America,Algeria,2000,57,"(1.659626, 28.033886)",
3560,United States of America,Angola,2000,2,"(17.873887, -11.202692)",
3561,United States of America,Armenia,2000,9,"(45.038189, 40.069099)",
3562,United States of America,Azerbaijan,2000,250,"(47.576927, 40.143105)",
3563,United States of America,Belarus,2000,998,"(27.953389, 53.709807)",
3564,United States of America,Bosnia and Herzegovina,2000,19027,"(17.679076, 43.915886)",
3565,United States of America,Burundi,2000,165,"(29.918886, -3.373056)",
3566,United States of America,Cameroon,2000,7,"(12.354722, 7.369722)",
3567,United States of America,China,2000,1,"(104.195397, 35.86166)",
3568,United States of America,Congo,2000,11,,
3569,United States of America,Croatia,2000,2995,"(15.2, 45.1)",
3570,United States of America,Cuba,2000,3184,"(-77.781167, 21.521757)",
3571,United States of America,Dem. Rep. of the Congo,2000,1352,,
3572,United States of America,Egypt,2000,6,"(30.802498, 26.820553)",
3573,United States of America,Eritrea,2000,94,"(39.782334, 15.179384)",
3574,United States of America,Estonia,2000,61,"(25.013607, 58.595272)",
3575,United States of America,Ethiopia,2000,1346,"(40.489673, 9.145)",
3576,United States of America,Gambia,2000,13,"(-15.310139, 13.443182)",
3577,United States of America,Georgia,2000,24,"(43.356892, 42.315407)",
3578,United States of America,Ghana,2000,3,"(-1.023194, 7.946527)",
3579,United States of America,Guinea,2000,1,"(-9.696645, 9.945587)",
3580,United States of America,Haiti,2000,49,"(-72.285215, 18.971187)",
3581,United States of America,Indonesia,2000,14,"(113.921327, -0.789275)",
3582,United States of America,Iran (Islamic Rep. of),2000,5100,,
3583,United States of America,Iraq,2000,3152,"(43.679291, 33.223191)",
3584,United States of America,Jordan,2000,5,"(36.238414, 30.585164)",
3585,United States of America,Kazakhstan,2000,280,"(66.923684, 48.019573)",
3586,United States of America,Kenya,2000,11,"(37.906193, -0.023559)",
3587,United States of America,Kuwait,2000,13,"(47.481766, 29.31166)",
3588,United States of America,Kyrgyzstan,2000,146,"(74.766098, 41.20438)",
3589,United States of America,Lao People's Dem. Rep.,2000,64,,
3590,United States of America,Latvia,2000,97,"(24.603189, 56.879635)",
3591,United States of America,Liberia,2000,2613,"(-9.429499, 6.428055)",
3592,United States of America,Lithuania,2000,9,"(23.881275, 55.169438)",
3593,United States of America,Myanmar,2000,637,,
3594,United States of America,Nigeria,2000,50,"(8.675277, 9.081999)",
3595,United States of America,Pakistan,2000,6,"(69.345116, 30.375321)",
3596,United States of America,Rep. of Moldova,2000,1022,,
3597,United States of America,Romania,2000,4,"(24.96676, 45.943161)",
3598,United States of America,Russian Federation,2000,3486,,
3599,United States of America,Rwanda,2000,345,"(29.873888, -1.940278)",
3600,United States of America,Serbia and Kosovo: S/RES/1244 (1999),2000,520,,
3601,United States of America,Sierra Leone,2000,1128,"(-11.779889, 8.460555)",
3602,United States of America,Somalia,2000,6026,"(46.199616, 5.152149)",
3603,United States of America,Sri Lanka,2000,4,"(80.771797, 7.873054)",
3604,United States of America,Sudan,2000,3833,"(30.217636, 12.862807)",
3605,United States of America,Syrian Arab Rep.,2000,18,,
3606,United States of America,Tajikistan,2000,24,"(71.276093, 38.861034)",
3607,United States of America,The former Yugoslav Rep. of Macedonia,2000,2,,
3608,United States of America,Togo,2000,510,"(0.824782, 8.619543)",
3609,United States of America,Turkmenistan,2000,1,"(59.556278, 38.969719)",
3610,United States of America,Uganda,2000,18,"(32.290275, 1.373333)",
3611,United States of America,Ukraine,2000,7180,"(31.16558, 48.379433)",
3612,United States of America,Uzbekistan,2000,689,"(64.585262, 41.377491)",
3613,United States of America,Various/unknown,2000,296,,
3614,United States of America,Viet Nam,2000,3845,,
3615,United States of America,Yemen,2000,1,"(48.516388, 15.552727)",
3624,Australia,Congo,2001,15,,"(133.775136, -25.274398)"
3635,Australia,Iran (Islamic Rep. of),2001,179,,"(133.775136, -25.274398)"
3643,Australia,Myanmar,2001,146,,"(133.775136, -25.274398)"
3645,Australia,Palestinian,2001,6,,"(133.775136, -25.274398)"
3647,Australia,Russian Federation,2001,6,,"(133.775136, -25.274398)"
3649,Australia,Serbia and Kosovo: S/RES/1244 (1999),2001,1427,,"(133.775136, -25.274398)"
3656,Australia,The former Yugoslav Rep. of Macedonia,2001,4,,"(133.775136, -25.274398)"
3660,Australia,United Rep. of Tanzania,2001,2,,"(133.775136, -25.274398)"
3661,Australia,Viet Nam,2001,37,,"(133.775136, -25.274398)"
3664,Benin,Dem. Rep. of the Congo,2001,44,,"(2.315834, 9.30769)"
3682,Canada,Dem. Rep. of the Congo,2001,428,,"(-106.346771, 56.130366)"
3694,Canada,Iran (Islamic Rep. of),2001,895,,"(-106.346771, 56.130366)"
3704,Canada,Myanmar,2001,34,,"(-106.346771, 56.130366)"
3706,Canada,Russian Federation,2001,52,,"(-106.346771, 56.130366)"
3709,Canada,Serbia and Kosovo: S/RES/1244 (1999),2001,1538,,"(-106.346771, 56.130366)"
3713,Canada,Stateless,2001,820,,"(-106.346771, 56.130366)"
3715,Canada,Syrian Arab Rep.,2001,22,,"(-106.346771, 56.130366)"
3718,Canada,The former Yugoslav Rep. of Macedonia,2001,2,,"(-106.346771, 56.130366)"
3723,Canada,United Kingdom of Great Britain and Northern Ireland,2001,1,,"(-106.346771, 56.130366)"
3724,Canada,United States of America,2001,2,,"(-106.346771, 56.130366)"
3726,Canada,Various/unknown,2001,31,,"(-106.346771, 56.130366)"
3727,Canada,Venezuela (Bolivarian Republic of),2001,3,,"(-106.346771, 56.130366)"
3728,Canada,Viet Nam,2001,1,,"(-106.346771, 56.130366)"
3734,Denmark,Iran (Islamic Rep. of),2001,6,,"(9.501785, 56.26392)"
3737,Denmark,Myanmar,2001,20,,"(9.501785, 56.26392)"
3740,Denmark,Stateless,2001,2,,"(9.501785, 56.26392)"
3742,Denmark,Syrian Arab Rep.,2001,1,,"(9.501785, 56.26392)"
3747,Finland,Iran (Islamic Rep. of),2001,201,,"(25.748151, 61.92411)"
3749,Finland,Myanmar,2001,5,,"(25.748151, 61.92411)"
3753,Ireland,Dem. Rep. of the Congo,2001,14,,"(-8.24389, 53.41291)"
3754,Ireland,Iran (Islamic Rep. of),2001,15,,"(-8.24389, 53.41291)"
3766,Netherlands,Congo,2001,3,,"(5.291266, 52.132633)"
3768,Netherlands,Dem. Rep. of the Congo,2001,35,,"(5.291266, 52.132633)"
3771,Netherlands,Iran (Islamic Rep. of),2001,6,,"(5.291266, 52.132633)"
3773,Netherlands,Myanmar,2001,52,,"(5.291266, 52.132633)"
3783,New Zealand,Dem. Rep. of the Congo,2001,1,,"(174.885971, -40.900557)"
3787,New Zealand,Iran (Islamic Rep. of),2001,98,,"(174.885971, -40.900557)"
3789,New Zealand,Myanmar,2001,131,,"(174.885971, -40.900557)"
3802,Norway,Congo,2001,58,,"(8.468946, 60.472024)"
3804,Norway,Dem. Rep. of the Congo,2001,6,,"(8.468946, 60.472024)"
3808,Norway,Iran (Islamic Rep. of),2001,317,,"(8.468946, 60.472024)"
3811,Norway,Myanmar,2001,33,,"(8.468946, 60.472024)"
3812,Norway,Rep. of Moldova,2001,1,,"(8.468946, 60.472024)"
3813,Norway,Russian Federation,2001,12,,"(8.468946, 60.472024)"
3815,Norway,Serbia and Kosovo: S/RES/1244 (1999),2001,110,,"(8.468946, 60.472024)"
3819,Norway,Stateless,2001,4,,"(8.468946, 60.472024)"
3830,Sweden,Iran (Islamic Rep. of),2001,296,,"(18.643501, 60.128161)"
3832,Sweden,Russian Federation,2001,1,,"(18.643501, 60.128161)"
3833,Sweden,Serbia and Kosovo: S/RES/1244 (1999),2001,7,,"(18.643501, 60.128161)"
3835,Sweden,Stateless,2001,3,,"(18.643501, 60.128161)"
3836,Sweden,Syrian Arab Rep.,2001,1,,"(18.643501, 60.128161)"
3837,Sweden,Various/unknown,2001,178,,"(18.643501, 60.128161)"
3838,United States of America,Afghanistan,2001,2964,"(67.709953, 33.93911)",
3839,United States of America,Albania,2001,3,"(20.168331, 41.153332)",
3840,United States of America,Algeria,2001,31,"(1.659626, 28.033886)",
3841,United States of America,Angola,2001,34,"(17.873887, -11.202692)",
3842,United States of America,Argentina,2001,5,"(-63.616672, -38.416097)",
3843,United States of America,Armenia,2001,27,"(45.038189, 40.069099)",
3844,United States of America,Azerbaijan,2001,434,"(47.576927, 40.143105)",
3845,United States of America,Belarus,2001,914,"(27.953389, 53.709807)",
3846,United States of America,Bosnia and Herzegovina,2001,14594,"(17.679076, 43.915886)",
3847,United States of America,Burundi,2001,109,"(29.918886, -3.373056)",
3848,United States of America,Côte d'Ivoire,2001,1,"(-5.54708, 7.539989)",
3849,United States of America,Cambodia,2001,23,"(104.990963, 12.565679)",
3850,United States of America,Cameroon,2001,5,"(12.354722, 7.369722)",
3851,United States of America,China,2001,12,"(104.195397, 35.86166)",
3852,United States of America,Congo,2001,6,,
3853,United States of America,Croatia,2001,1020,"(15.2, 45.1)",
3854,United States of America,Cuba,2001,2944,"(-77.781167, 21.521757)",
3855,United States of America,Dem. Rep. of the Congo,2001,256,,
3856,United States of America,Egypt,2001,8,"(30.802498, 26.820553)",
3857,United States of America,Eritrea,2001,109,"(39.782334, 15.179384)",
3858,United States of America,Estonia,2001,49,"(25.013607, 58.595272)",
3859,United States of America,Ethiopia,2001,1429,"(40.489673, 9.145)",
3860,United States of America,Gambia,2001,5,"(-15.310139, 13.443182)",
3861,United States of America,Georgia,2001,47,"(43.356892, 42.315407)",
3862,United States of America,Guinea,2001,4,"(-9.696645, 9.945587)",
3863,United States of America,Haiti,2001,23,"(-72.285215, 18.971187)",
3864,United States of America,Indonesia,2001,5,"(113.921327, -0.789275)",
3865,United States of America,Iran (Islamic Rep. of),2001,6582,,
3866,United States of America,Iraq,2001,2473,"(43.679291, 33.223191)",
3867,United States of America,Kazakhstan,2001,280,"(66.923684, 48.019573)",
3868,United States of America,Kenya,2001,13,"(37.906193, -0.023559)",
3869,United States of America,Kyrgyzstan,2001,100,"(74.766098, 41.20438)",
3870,United States of America,Lao People's Dem. Rep.,2001,22,,
3871,United States of America,Latvia,2001,117,"(24.603189, 56.879635)",
3872,United States of America,Liberia,2001,3415,"(-9.429499, 6.428055)",
3873,United States of America,Libya,2001,5,"(17.228331, 26.3351)",
3874,United States of America,Lithuania,2001,30,"(23.881275, 55.169438)",
3875,United States of America,Mauritania,2001,202,"(-10.940835, 21.00789)",
3876,United States of America,Myanmar,2001,543,,
3877,United States of America,Nigeria,2001,81,"(8.675277, 9.081999)",
3878,United States of America,Pakistan,2001,3,"(69.345116, 30.375321)",
3879,United States of America,Rep. of Moldova,2001,1055,,
3880,United States of America,Russian Federation,2001,4089,,
3881,United States of America,Rwanda,2001,94,"(29.873888, -1.940278)",
3882,United States of America,Serbia and Kosovo: S/RES/1244 (1999),2001,151,,
3883,United States of America,Sierra Leone,2001,1999,"(-11.779889, 8.460555)",
3884,United States of America,Somalia,2001,4939,"(46.199616, 5.152149)",
3885,United States of America,Sri Lanka,2001,2,"(80.771797, 7.873054)",
3886,United States of America,Sudan,2001,5958,"(30.217636, 12.862807)",
3887,United States of America,Syrian Arab Rep.,2001,8,,
3888,United States of America,Tajikistan,2001,9,"(71.276093, 38.861034)",
3889,United States of America,The former Yugoslav Rep. of Macedonia,2001,2,,
3890,United States of America,Togo,2001,279,"(0.824782, 8.619543)",
3891,United States of America,Turkmenistan,2001,7,"(59.556278, 38.969719)",
3892,United States of America,Uganda,2001,12,"(32.290275, 1.373333)",
3893,United States of America,Ukraine,2001,6939,"(31.16558, 48.379433)",
3894,United States of America,Uzbekistan,2001,672,"(64.585262, 41.377491)",
3895,United States of America,Various/unknown,2001,175,,
3896,United States of America,Viet Nam,2001,3109,,
3904,Australia,Congo,2002,5,,"(133.775136, -25.274398)"
3912,Australia,Iran (Islamic Rep. of),2002,307,,"(133.775136, -25.274398)"
3919,Australia,Myanmar,2002,68,,"(133.775136, -25.274398)"
3921,Australia,Palestinian,2002,11,,"(133.775136, -25.274398)"
3924,Australia,Serbia and Kosovo: S/RES/1244 (1999),2002,1239,,"(133.775136, -25.274398)"
3928,Australia,Stateless,2002,11,,"(133.775136, -25.274398)"
3930,Australia,Syrian Arab Rep.,2002,3,,"(133.775136, -25.274398)"
3933,Australia,United Kingdom of Great Britain and Northern Ireland,2002,4,,"(133.775136, -25.274398)"
3934,Australia,Viet Nam,2002,39,,"(133.775136, -25.274398)"
3944,Canada,Dem. Rep. of the Congo,2002,311,,"(-106.346771, 56.130366)"
3951,Canada,Iran (Islamic Rep. of),2002,909,,"(-106.346771, 56.130366)"
3954,Canada,Myanmar,2002,66,,"(-106.346771, 56.130366)"
3956,Canada,Russian Federation,2002,93,,"(-106.346771, 56.130366)"
3958,Canada,Serbia and Kosovo: S/RES/1244 (1999),2002,57,,"(-106.346771, 56.130366)"
3964,Canada,Various/unknown,2002,681,,"(-106.346771, 56.130366)"
3968,Denmark,Congo,2002,34,,"(9.501785, 56.26392)"
3969,Denmark,Dem. Rep. of the Congo,2002,15,,"(9.501785, 56.26392)"
3972,Denmark,Iran (Islamic Rep. of),2002,130,,"(9.501785, 56.26392)"
3976,Denmark,Myanmar,2002,1,,"(9.501785, 56.26392)"
3977,Denmark,Palestinian,2002,1,,"(9.501785, 56.26392)"
3982,Denmark,Stateless,2002,7,,"(9.501785, 56.26392)"
3984,Denmark,Syrian Arab Rep.,2002,1,,"(9.501785, 56.26392)"
3988,Finland,Iran (Islamic Rep. of),2002,180,,"(25.748151, 61.92411)"
3990,Finland,Myanmar,2002,1,,"(25.748151, 61.92411)"
3991,Finland,Serbia and Kosovo: S/RES/1244 (1999),2002,4,,"(25.748151, 61.92411)"
3993,Ireland,Dem. Rep. of the Congo,2002,10,,"(-8.24389, 53.41291)"
3994,Ireland,Iran (Islamic Rep. of),2002,13,,"(-8.24389, 53.41291)"
3998,Netherlands,Congo,2002,9,,"(5.291266, 52.132633)"
4000,Netherlands,Dem. Rep. of the Congo,2002,19,,"(5.291266, 52.132633)"
4002,Netherlands,Iran (Islamic Rep. of),2002,8,,"(5.291266, 52.132633)"
4006,Netherlands,Myanmar,2002,17,,"(5.291266, 52.132633)"
4009,Netherlands,Serbia and Kosovo: S/RES/1244 (1999),2002,10,,"(5.291266, 52.132633)"
4013,Netherlands,Syrian Arab Rep.,2002,6,,"(5.291266, 52.132633)"
4020,New Zealand,Dem. Rep. of the Congo,2002,2,,"(174.885971, -40.900557)"
4025,New Zealand,Iran (Islamic Rep. of),2002,46,,"(174.885971, -40.900557)"
4027,New Zealand,Myanmar,2002,4,,"(174.885971, -40.900557)"
4029,New Zealand,Palestinian,2002,13,,"(174.885971, -40.900557)"
4033,New Zealand,Stateless,2002,5,,"(174.885971, -40.900557)"
4035,New Zealand,Syrian Arab Rep.,2002,3,,"(174.885971, -40.900557)"
4047,Norway,Congo,2002,18,,"(8.468946, 60.472024)"
4049,Norway,Dem. Rep. of the Congo,2002,104,,"(8.468946, 60.472024)"
4052,Norway,Iran (Islamic Rep. of),2002,286,,"(8.468946, 60.472024)"
4057,Norway,Myanmar,2002,5,,"(8.468946, 60.472024)"
4058,Norway,Russian Federation,2002,7,,"(8.468946, 60.472024)"
4060,Norway,Serbia and Kosovo: S/RES/1244 (1999),2002,22,,"(8.468946, 60.472024)"
4064,Norway,Stateless,2002,10,,"(8.468946, 60.472024)"
4066,Norway,Syrian Arab Rep.,2002,7,,"(8.468946, 60.472024)"
4078,Sweden,Iran (Islamic Rep. of),2002,192,,"(18.643501, 60.128161)"
4081,Sweden,Russian Federation,2002,12,,"(18.643501, 60.128161)"
4082,Sweden,Serbia and Kosovo: S/RES/1244 (1999),2002,16,,"(18.643501, 60.128161)"
4085,Sweden,Stateless,2002,8,,"(18.643501, 60.128161)"
4087,Sweden,Various/unknown,2002,308,,"(18.643501, 60.128161)"
4088,Sweden,Viet Nam,2002,1,,"(18.643501, 60.128161)"
4089,United States of America,Afghanistan,2002,1649,"(67.709953, 33.93911)",
4090,United States of America,Albania,2002,5,"(20.168331, 41.153332)",
4091,United States of America,Angola,2002,16,"(17.873887, -11.202692)",
4092,United States of America,Armenia,2002,30,"(45.038189, 40.069099)",
4093,United States of America,Azerbaijan,2002,115,"(47.576927, 40.143105)",
4094,United States of America,Bosnia and Herzegovina,2002,4865,"(17.679076, 43.915886)",
4095,United States of America,Burundi,2002,62,"(29.918886, -3.373056)",
4096,United States of America,Côte d'Ivoire,2002,4,"(-5.54708, 7.539989)",
4097,United States of America,Cameroon,2002,6,"(12.354722, 7.369722)",
4098,United States of America,China,2002,11,"(104.195397, 35.86166)",
4099,United States of America,Colombia,2002,7,"(-74.297333, 4.570868)",
4100,United States of America,Congo,2002,20,,
4101,United States of America,Croatia,2002,408,"(15.2, 45.1)",
4102,United States of America,Cuba,2002,1901,"(-77.781167, 21.521757)",
4103,United States of America,Dem. Rep. of the Congo,2002,86,,
4104,United States of America,Eritrea,2002,9,"(39.782334, 15.179384)",
4105,United States of America,Estonia,2002,39,"(25.013607, 58.595272)",
4106,United States of America,Ethiopia,2002,311,"(40.489673, 9.145)",
4107,United States of America,Georgia,2002,14,"(43.356892, 42.315407)",
4108,United States of America,Guinea,2002,5,"(-9.696645, 9.945587)",
4109,United States of America,Haiti,2002,4,"(-72.285215, 18.971187)",
4110,United States of America,Indonesia,2002,18,"(113.921327, -0.789275)",
4111,United States of America,Iran (Islamic Rep. of),2002,1430,,
4112,United States of America,Iraq,2002,457,"(43.679291, 33.223191)",
4113,United States of America,Kazakhstan,2002,218,"(66.923684, 48.019573)",
4114,United States of America,Kenya,2002,24,"(37.906193, -0.023559)",
4115,United States of America,Kuwait,2002,6,"(47.481766, 29.31166)",
4116,United States of America,Kyrgyzstan,2002,67,"(74.766098, 41.20438)",
4117,United States of America,Lao People's Dem. Rep.,2002,18,,
4118,United States of America,Latvia,2002,58,"(24.603189, 56.879635)",
4119,United States of America,Lebanon,2002,8,"(35.862285, 33.854721)",
4120,United States of America,Liberia,2002,520,"(-9.429499, 6.428055)",
4121,United States of America,Lithuania,2002,1,"(23.881275, 55.169438)",
4122,United States of America,Mauritania,2002,6,"(-10.940835, 21.00789)",
4123,United States of America,Myanmar,2002,125,,
